wavelength_um transit_depth
3.660085836909871659e+00 2.632852782118859716e-02
3.666666666666667407e+00 2.583820932267984552e-02
3.673247496423462710e+00 2.667231459821110817e-02
3.679828326180258014e+00 2.611390742418634447e-02
3.686409155937053317e+00 2.724194624150164112e-02
3.692989985693849064e+00 2.549320287402186483e-02
3.699570815450644368e+00 2.585156334217212498e-02
3.706151645207439671e+00 2.603457984307794987e-02
3.712732474964234974e+00 2.558354443692159932e-02
3.719313304721030722e+00 2.629577129048836504e-02
3.725894134477826025e+00 2.665586670892548457e-02
3.732474964234621329e+00 2.629964697864102530e-02
3.739055793991417076e+00 2.701441264333074091e-02
3.745636623748212379e+00 2.640371317826737535e-02
3.752217453505007683e+00 2.587030129727242375e-02
3.758798283261802986e+00 2.629239468697608384e-02
3.765379113018598733e+00 2.617547224032489017e-02
3.771959942775394037e+00 2.586889337109614731e-02
3.778540772532189340e+00 2.652328016490019050e-02
3.785121602288984644e+00 2.604787409092804498e-02
3.791702432045780391e+00 2.695431367826725197e-02
3.798283261802575694e+00 2.581491420369137410e-02
3.804864091559370998e+00 2.617316948337496119e-02
3.811444921316166745e+00 2.538959014402952102e-02
3.818025751072962048e+00 2.591959989527387390e-02
3.824606580829757352e+00 2.544602565188305507e-02
3.831187410586552655e+00 2.598577912456116745e-02
3.837768240343348403e+00 2.567666589273996311e-02
3.844349070100143706e+00 2.595883349489129174e-02
3.850929899856939009e+00 2.576113598356711415e-02
3.857510729613734313e+00 2.670242139433938108e-02
3.864091559370530060e+00 2.559599882068039345e-02
